iter	Passed	Remaining
703	7621	3204
704	7624	3190
705	7643	3183
706	7645	3168
707	7648	3154
708	7650	3140
709	7653	3125
710	7688	3125
711	7702	3115
712	7716	3105
713	7729	3096
714	7744	3086
715	7747	3072
716	7750	3059
717	7752	3045
718	7756	3031
719	7758	3017
720	7761	3003
721	7784	2997
722	7787	2983
723	7789	2969
724	7813	2963
725	7815	2949
726	7817	2935
727	7819	2921
728	7826	2909
729	7841	2900
730	7844	2886
731	7846	2872
732	7848	2859
733	7854	2846
734	7857	2833
735	7860	2819
736	7862	2805
737	7865	2792
738	7867	2778
739	7870	2765
740	7872	2751
741	7874	2738
742	7878	2725
743	7881	2711
744	7883	2698
745	7885	2684
746	7889	2671
747	7903	2662
748	7906	2649
749	7909	2636
750	7911	2623
751	7914	2610
752	7945	2606
753	7947	2592
754	7951	2580
755	7953	2567
756	7955	2553
757	7958	2540
758	7960	2527
759	7964	2515
760	7966	2502
761	7970	2489
762	7972	2476
763	7997	2470
764	8000	2457
765	8003	2444
766	8009	2433
767	8012	2420
768	8014	2407
769	8017	2394
770	8021	2382
771	8023	2369
772	8026	2356
773	8028	2344
774	8034	2332
775	8037	2320
776	8039	2307
777	8042	2294
778	8046	2282
779	8062	2274
780	8065	2261
781	8067	2249
782	8069	2236
783	8073	2224
784	8086	2214
785	8089	2202
786	8092	2190
787	8094	2177
788	8098	2165
789	8126	2160
790	8130	2148
791	8155	2141
792	8158	2129
793	8162	2117
794	8164	2105
795	8167	2093
796	8170	2080
797	8173	2068
798	8176	2056
799	8179	2044
800	8182	2032
801	8184	2020
802	8187	2008
803	8190	1996
804	8192	1984
805	8195	1972
806	8198	1960
807	8203	1949
808	8205	1937
809	8208	1925
810	8211	1913
811	8245	1909
812	8248	1897
813	8250	1885
814	8253	1873
815	8259	1862
816	8261	1850
817	8264	1838
818	8266	1826
819	8269	1815
820	8272	1803
821	8275	1791
822	8277	1780
823	8280	1768
824	8284	1757
825	8287	1745
826	8289	1734
827	8291	1722
828	8309	1714
829	8337	1707
830	8340	1696
831	8351	1686
832	8354	1674
833	8365	1665
834	8368	1653
835	8371	1642
836	8374	1630
837	8377	1619
838	8379	1607
839	8381	1596
840	8390	1586
841	8392	1574
842	8394	1563
843	8397	1552
844	8401	1541
845	8403	1529
846	8406	1518
847	8408	1507
848	8414	1496
849	8416	1485
850	8419	1474
851	8421	1462
852	8426	1452
853	8428	1440
854	8431	1429
855	8433	1418
856	8440	1408
857	8442	1397
858	8453	1387
859	8456	1376
860	8458	1365
861	8461	1354
862	8464	1343
863	8467	1332
864	8469	1321
865	8471	1310
866	8474	1299
867	8477	1289
868	8480	1278
869	8482	1267
870	8484	1256
871	8487	1245
872	8532	1241
873	8535	1230
874	8562	1223
875	8565	1212
876	8591	1205
877	8594	1194
878	8597	1183
879	8603	1173
880	8606	1162
881	8608	1151
882	8617	1141
883	8619	1131
884	8622	1120
885	8624	1109
886	8629	1099
887	8631	1088
888	8634	1078
889	8637	1067
890	8641	1057
891	8643	1046
892	8646	1035
893	8648	1025
894	8654	1015
895	8657	1004
896	8659	994
897	8661	983
898	8667	973
899	8669	963
900	8672	952
901	8679	943
902	8694	933
903	8697	923
904	8699	913
905	8701	902
906	8704	892
907	8735	885
908	8739	874
909	8741	864
910	8744	854
911	8746	843
912	8750	833
913	8775	825
914	8778	815
915	8781	805
916	8784	795
917	8803	786
918	8805	776
919	8808	765
920	8817	756
921	8820	746
922	8822	736
923	8830	726
924	8833	716
925	8835	706
926	8838	696
927	8872	688
928	8874	678
929	8877	668
930	8917	660
931	8920	650
932	8923	640
933	8926	630
934	8940	621
935	8953	612
